,latitude,longitude,county
0,38.02,-122.12,Jackson County
1,38.02,-122.11,Jackson County
2,38.78,-119.34,Lyon County
3,40.07,-121.75,Tehama County
4,38.88,-121.74,Sutter County
5,41.62,-122.54,Siskiyou County
6,39.11,-122.13,Jackson County
7,37.86,-121.37,San Joaquin County
8,40.07,-122.69,Tehama County
9,38.02,-122.06,Lyon County
10,38.16,-122.56,Jackson County
11,40.8,-123.79,Humboldt County
12,40.81,-123.82,Humboldt County
13,40.8,-123.8,Humboldt County
14,41.69,-122.92,Siskiyou County
15,42.54,-124.22,Curry County
16,40.06,-121.77,Tehama County
17,40.05,-121.78,Tehama County
18,40.05,-121.77,Tehama County
19,40.07,-121.76,Tehama County
20,40.05,-121.79,Tehama County
21,41.05,-123.66,Humboldt County
22,38.06,-121.32,San Joaquin County
23,38.08,-121.29,San Joaquin County
24,39.48,-122.22,Glenn County
25,39.57,-121.71,Lake County
26,40.39,-120.57,Lassen County
27,42.11,-121.39,Klamath County
28,42.11,-121.38,Klamath County
29,39.57,-120.41,Sierra County
30,39.3,-122.15,Colusa County
31,42.14,-120.23,Curry County
32,42.15,-120.23,Curry County
33,39.41,-121.66,Butte County
34,39.01,-121.66,Colusa County
35,38.85,-121.68,Sutter County
36,39.02,-122.11,Colusa County
37,38.84,-121.71,Sutter County
38,37.96,-120.27,Tuolumne County
39,37.96,-120.26,Tuolumne County
40,37.84,-120.0,Tuolumne County
41,39.29,-121.61,Mendocino County
42,38.16,-121.61,Sacramento County
43,38.34,-121.48,Sacramento County
44,39.53,-121.15,Butte County
45,39.21,-121.09,Nevada County
46,39.41,-122.21,Glenn County
47,38.49,-122.45,Napa County
48,39.32,-122.22,Colusa County
49,37.84,-121.21,Stanislaus County
50,37.4,-120.64,Merced County
51,39.6,-122.02,Glenn County
52,39.62,-121.9,Glenn County
53,39.52,-121.97,Lake County
54,38.36,-122.33,Napa County
55,38.21,-122.25,Napa County
56,42.34,-121.56,Klamath County
57,42.33,-121.56,Klamath County
58,38.45,-121.94,Solano County
59,38.27,-122.45,Sonoma County
60,38.22,-122.32,Napa County
61,39.43,-122.04,Butte County
62,39.56,-121.99,Glenn County
63,39.91,-122.07,Tehama County
64,39.5,-121.69,Butte County
65,39.23,-121.71,Sutter County
66,38.64,-123.39,Sonoma County
67,37.37,-120.89,Merced County
68,37.26,-119.7,Madera County
69,37.76,-121.66,Jackson County
70,37.94,-122.4,Curry County
71,38.98,-121.63,Mineral County
72,39.24,-121.59,Yuba County
73,41.28,-123.79,Humboldt County
74,38.08,-121.18,San Joaquin County
75,38.08,-121.19,Curry County
76,39.36,-122.07,Colusa County
77,41.22,-121.93,Siskiyou County
78,40.73,-121.91,Shasta County
79,38.04,-122.25,Josephine County
80,38.92,-120.62,El Dorado County
81,37.45,-121.93,Harney County
82,39.6,-122.01,Glenn County
83,39.59,-121.75,Butte County
84,42.26,-120.98,Klamath County
85,42.28,-120.98,Klamath County
86,42.07,-120.17,Jackson County
87,39.04,-121.93,Colusa County
88,41.99,-120.68,Modoc County
89,38.07,-121.19,San Joaquin County
90,39.66,-121.79,Butte County
91,42.24,-120.99,Klamath County
92,42.23,-120.99,Klamath County
93,38.69,-122.61,Lake County
94,39.38,-121.67,Klamath County
95,38.9,-120.65,Curry County
96,42.52,-121.0,Klamath County
97,42.28,-121.05,Klamath County
98,42.18,-123.5,Josephine County
99,38.22,-121.98,Sonoma County
100,41.56,-120.35,Modoc County
101,39.47,-121.95,Glenn County
102,37.43,-121.01,Stanislaus County
103,39.61,-122.03,Butte County
104,39.58,-122.05,Butte County
105,39.31,-122.01,Josephine County
106,39.61,-122.02,Glenn County
107,42.17,-120.95,Klamath County
108,42.16,-120.95,Klamath County
109,37.44,-119.71,Madera County
110,38.79,-121.44,Placer County
111,38.79,-121.43,Yolo County
112,42.15,-120.93,Klamath County
113,42.12,-122.14,Douglas County
