latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.83928,-73.24996,325.66,0.5,0.41,2021-11-25,07:16,N,nominal,2.0NRT,272.42,3.96,N
45.83566,-73.25152,299.33,0.5,0.41,2021-11-25,07:16,N,nominal,2.0NRT,269.07,1.24,N
39.93807,-76.81223,300.73,0.46,0.39,2021-11-25,07:18,N,nominal,2.0NRT,269.96,0.79,N
40.15388,-74.76896,306.17,0.55,0.43,2021-11-25,07:18,N,nominal,2.0NRT,262.84,0.77,N
40.63745,-74.22351,297.04,0.57,0.43,2021-11-25,07:18,N,nominal,2.0NRT,277.27,1.5,N
40.68481,-75.25304,321.55,0.51,0.41,2021-11-25,07:18,N,nominal,2.0NRT,271.56,2.81,N
40.63605,-74.21693,296.77,0.57,0.43,2021-11-25,07:18,N,nominal,2.0NRT,276.57,1.5,N
37.53941,-76.80744,296.39,0.5,0.41,2021-11-25,07:18,N,nominal,2.0NRT,280.26,1.21,N
31.16199,-87.98241,319.62,0.5,0.41,2021-11-25,07:20,N,nominal,2.0NRT,273.91,2.29,N
32.39396,-82.81083,297.13,0.38,0.36,2021-11-25,07:20,N,nominal,2.0NRT,272.14,0.51,N
31.15384,-87.97839,297.39,0.5,0.41,2021-11-25,07:20,N,nominal,2.0NRT,274.29,0.92,N
33.44997,-88.57174,296.13,0.57,0.43,2021-11-25,07:20,N,nominal,2.0NRT,278.47,1.25,N
33.53556,-86.75958,295.01,0.47,0.4,2021-11-25,07:20,N,nominal,2.0NRT,267.68,0.95,N
33.58307,-86.78238,296.86,0.47,0.4,2021-11-25,07:20,N,nominal,2.0NRT,268.43,0.91,N
33.00547,-79.87991,295.67,0.44,0.38,2021-11-25,07:20,N,nominal,2.0NRT,278.4,0.83,N
33.00632,-79.88454,299.71,0.44,0.38,2021-11-25,07:20,N,nominal,2.0NRT,279.15,0.83,N
33.01328,-79.88275,314.92,0.44,0.38,2021-11-25,07:20,N,nominal,2.0NRT,275.53,2.02,N
33.01412,-79.88737,321.96,0.44,0.38,2021-11-25,07:20,N,nominal,2.0NRT,276.5,2.85,N
34.63758,-87.08397,328,0.5,0.41,2021-11-25,07:20,N,nominal,2.0NRT,257.89,4.06,N
35.63529,-99.18941,300.86,0.78,0.78,2021-11-25,07:20,N,nominal,2.0NRT,273.48,1.15,N
34.15302,-79.56068,297.84,0.44,0.38,2021-11-25,07:20,N,nominal,2.0NRT,275.97,0.99,N
36.34996,-96.78779,296.33,0.58,0.7,2021-11-25,07:20,N,nominal,2.0NRT,275.41,0.54,N
35.54636,-85.25453,303.5,0.43,0.38,2021-11-25,07:20,N,nominal,2.0NRT,270.77,0.84,N
35.9402,-86.66491,331.6,0.49,0.4,2021-11-25,07:20,N,nominal,2.0NRT,274.64,6.43,N
35.94393,-86.66429,311.91,0.49,0.4,2021-11-25,07:20,N,nominal,2.0NRT,274.77,2.07,N
35.94064,-86.66312,298.45,0.49,0.4,2021-11-25,07:20,N,nominal,2.0NRT,273.67,2.48,N
35.94127,-86.66857,327.6,0.49,0.4,2021-11-25,07:20,N,nominal,2.0NRT,276.3,5.57,N
35.34184,-80.82598,327.01,0.4,0.37,2021-11-25,07:20,N,nominal,2.0NRT,273.51,1.54,N
35.5062,-80.32874,295.75,0.4,0.37,2021-11-25,07:20,N,nominal,2.0NRT,272.76,1.17,N
36.35582,-76.80743,321.2,0.52,0.42,2021-11-25,07:20,N,nominal,2.0NRT,275.48,3.13,N
31.15138,-87.98952,320.02,0.5,0.41,2021-11-25,07:20,N,nominal,2.0NRT,273.83,2.29,N
