latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
42.9014,-82.45197,299.16,0.36,0.58,2021-10-10,06:37,N,nominal,2.0NRT,287.51,0.56,N
48.1871,-64.92008,301.59,0.42,0.38,2021-10-10,06:37,N,nominal,2.0NRT,278.73,0.91,N
45.28186,-66.01868,301.66,0.42,0.38,2021-10-10,06:37,N,nominal,2.0NRT,279.92,0.74,N
45.31544,-85.30396,296.93,0.52,0.67,2021-10-10,06:37,N,nominal,2.0NRT,284.93,0.81,N
45.07166,-83.40749,322.59,0.42,0.61,2021-10-10,06:37,N,nominal,2.0NRT,287.71,2.94,N
45.07082,-83.40679,324.23,0.42,0.61,2021-10-10,06:37,N,nominal,2.0NRT,287.78,2.95,N
43.30174,-83.02306,296.96,0.39,0.59,2021-10-10,06:37,N,nominal,2.0NRT,285.7,0.22,N
42.95033,-82.41909,298.95,0.36,0.57,2021-10-10,06:37,N,nominal,2.0NRT,287.88,0.79,N
42.94476,-82.41502,307.26,0.36,0.57,2021-10-10,06:37,N,nominal,2.0NRT,286.93,0.82,N
41.4581,-81.67691,325.61,0.32,0.55,2021-10-10,06:40,N,nominal,2.0NRT,287.94,2.15,N
38.60043,-82.82317,300.31,0.35,0.57,2021-10-10,06:40,N,nominal,2.0NRT,287.18,0.55,N
38.60069,-82.82732,300.85,0.35,0.57,2021-10-10,06:40,N,nominal,2.0NRT,287.42,0.75,N
38.83365,-84.2417,320.56,0.42,0.61,2021-10-10,06:40,N,nominal,2.0NRT,282.15,2.54,N
38.83484,-84.24143,322.25,0.42,0.61,2021-10-10,06:40,N,nominal,2.0NRT,282.2,2.64,N
38.95372,-81.92464,307.48,0.63,0.54,2021-10-10,06:40,N,nominal,2.0NRT,285.62,1.9,N
39.07985,-79.68921,302.9,0.48,0.48,2021-10-10,06:40,N,nominal,2.0NRT,282.93,0.9,N
39.46848,-84.3873,304.4,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,285.46,0.91,N
39.47498,-84.40234,297.96,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,286,0.65,N
39.47904,-84.36584,307.12,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,286.06,1.17,N
39.46834,-84.38764,305.91,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,285.48,0.78,N
39.47476,-84.40267,299.05,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,286.1,0.74,N
39.47903,-84.3661,304.9,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,286.43,0.76,N
39.4848,-84.36562,299,0.43,0.62,2021-10-10,06:40,N,nominal,2.0NRT,285.74,1.24,N
